inst_schdl_id,agrmnt_id,inst_seq_no,due_dt,inst_amt,inst_paid_amt,inst_waived_amt,inst_paid_dt,principal_amt,interest_amt
650102,93275013764,42,2026-07-01 00:00:00.000,1031250,0,0,,468750,562500
650103,93275013764,43,2026-08-01 00:00:00.000,1031250,0,0,,468750,562500
650104,93275013764,44,2026-09-01 00:00:00.000,1031250,0,0,,468750,562500
650222,93171001156,42,2026-07-04 00:00:00.000,590517,0,0,,609792,195133
650223,93171001156,43,2026-08-04 00:00:00.000,590517,0,0,,609792,195133
650224,93171001156,44,2026-09-04 00:00:00.000,590517,0,0,,609792,195133
650306,93175009843,42,2026-07-04 00:00:00.000,1125000,0,0,,585938,539062
650307,93175009843,43,2026-08-04 00:00:00.000,1125000,0,0,,585938,539062
650308,93175009843,44,2026-09-04 00:00:00.000,1125000,0,0,,585938,539062
650042,83171001032,42,2026-07-01 00:00:00.000,570754,0,0,,278417,292338
650043,83171001032,43,2026-08-01 00:00:00.000,570754,0,0,,278417,292338
650044,83171001032,44,2026-09-01 00:00:00.000,570754,0,0,,278417,292338
650162,83175006856,42,2026-07-02 00:00:00.000,387450,0,0,,189000,198450
650163,83175006856,43,2026-08-02 00:00:00.000,387450,0,0,,189000,198450
650164,83175006856,44,2026-09-02 00:00:00.000,387450,0,0,,189000,198450
650313,83173003657,1,2023-02-04 00:00:00.000,804925,804925,0,2023-02-02 00:00:00.000,585938,539062
650314,83173003657,2,2023-03-04 00:00:00.000,804925,804925,0,2023-03-02 00:00:00.000,585938,539062
650315,83173003657,3,2023-04-04 00:00:00.000,804925,804925,0,2023-04-04 00:00:00.000,585938,539062
650349,83276014806,1,2023-02-05 00:00:00.000,603735,603735,0,2023-02-04 00:00:00.000,457375,146360
650350,83276014806,2,2023-03-05 00:00:00.000,603735,603735,0,2023-03-05 00:00:00.000,457375,146360
650351,83276014806,3,2023-04-05 00:00:00.000,603735,603735,0,2023-04-05 00:00:00.000,457375,146360
650241,73275013304,1,2023-02-04 00:00:00.000,1320083,1320083,0,2023-02-04 00:00:00.000,268417,322100
650242,73275013304,2,2023-03-04 00:00:00.000,1320083,1320083,0,2023-03-03 00:00:00.000,268417,322100
650243,73275013304,3,2023-04-04 00:00:00.000,1320083,1320083,0,2023-04-02 00:00:00.000,268417,322100
650337,73276015951,1,2023-02-05 00:00:00.000,1849500,1849500,0,2023-02-03 00:00:00.000,1712500,137000
650338,73276015951,2,2023-03-05 00:00:00.000,1849500,1849500,0,2023-03-04 00:00:00.000,1712500,137000
650339,73276015951,3,2023-04-05 00:00:00.000,1849500,1849500,0,2023-04-03 00:00:00.000,1712500,137000
650373,73175006604,1,2023-02-06 00:00:00.000,1849500,1849500,0,2023-02-04 00:00:00.000,1712500,137000
650374,73175006604,2,2023-03-06 00:00:00.000,1849500,1849500,0,2023-03-04 00:00:00.000,1712500,137000
650375,73175006604,3,2023-04-06 00:00:00.000,1849500,1849500,0,2023-04-05 00:00:00.000,1712500,137000
